"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","CRM_r_Prior_a","CRM_r_Prior_b","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","IPDE_Design","Continuous_Enrollment","New_Pat_First","N_Eval_Escalate","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files","Oracle_Reference","n_scenarios_paired_with_oracle"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose selection %",16.1745,18.4599,19.1045,17.6908,24.2574,NA,NA,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose allocation",8.1926,6.1342,5.6305,4.2422,4.9923,NA,NA,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average total unique patients",NA,NA,NA,NA,NA,22.0173,NA,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,1207.7067,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,49.8487,NA,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"MCSE of MTD selection %",NA,NA,NA,NA,NA,0.0477,NA,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,11.0004,NA,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,26.0811,NA,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,7.2075,NA,10000,9846,154,9846,984600,NA,NA
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p1_tdiffabove0p1","CRM","random",NA,NA,"random",NA,0.15,0.85,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,10.9838,NA,10000,9846,154,9846,984600,NA,NA
